array_length,block_size,architecture,I1_misses,D1mr,D1mw,walltime
16,16,riscv64,2775,3154,1831,0.062732
32,16,riscv64,2763,3154,1835,0.070605
64,16,riscv64,2775,3154,1844,0.063026
32,32,riscv64,1601,1850,985,0.056042
64,32,riscv64,1596,1850,989,0.0627532
128,32,riscv64,1600,1850,997,0.0736771
64,64,riscv64,956,1123,536,0.0559731
128,64,riscv64,956,1123,540,0.0557189
256,64,riscv64,956,1123,548,0.0949631
128,128,riscv64,582,701,290,0.0724149
256,128,riscv64,581,702,294,0.095681
512,128,riscv64,590,699,318,0.154667
256,256,riscv64,366,449,158,0.0893331
512,256,riscv64,371,447,170,0.154756
1024,256,riscv64,372,447,185,0.226101
