array_length,block_size,architecture,I1_misses,D1mr,D1mw,walltime
32,32,x86_64,2405,1619,698,0.045095
64,32,x86_64,2402,1619,702,0.0490839
128,32,x86_64,2411,1619,710,0.056757
64,64,x86_64,1431,1061,370,0.0383792
128,64,x86_64,1434,1061,374,0.0448101
256,64,x86_64,1431,1061,382,0.0948331
128,128,x86_64,885,693,201,0.058512
256,128,x86_64,885,693,205,0.060761
512,128,x86_64,893,692,229,0.132605
256,256,x86_64,546,456,112,0.0735431
512,256,x86_64,553,456,124,0.113713
1024,256,x86_64,552,456,139,0.141612
512,512,x86_64,351,298,68,0.112581
1024,512,x86_64,350,298,75,0.138602
2048,512,x86_64,351,298,91,0.238665
